Institution,order,metrics,id_downloaded,link,type,name,uri,countryCode,region,sector,id,country,book_downloaded_2012,book_downloaded_2013,book_downloaded_2014,book_downloaded_2015,book_downloaded_2016,patent_downloaded_2012,patent_downloaded_2013,patent_downloaded_2014,patent_downloaded_2015,patent_downloaded_2016
Hopital de La Conception,3111,1.0,1.0,https://api.elsevier.com/metrics/institution/314193,application/json,Hopital de La Conception,Institution/314193,fra,EUR,medical,314193.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Finnish Forest Research Institute,3112,1.0,1.0,https://api.elsevier.com/metrics/institution/313016,application/json,Finnish Forest Research Institute,Institution/313016,fin,EUR,government,313016.0,Finland,1.0,1.0,1.0,1.0,1.0,,,,,
Rikkyo University,3113,1.0,1.0,https://api.elsevier.com/metrics/institution/208129,application/json,Rikkyo University,Institution/208129,jpn,APAC,academic,208129.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Shibaura Institute of Technology,3114,1.0,1.0,https://api.elsevier.com/metrics/institution/208136,application/json,Shibaura Institute of Technology,Institution/208136,jpn,APAC,academic,208136.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
"Research Institute of Petroleum Industry, Tehran",3115,1.0,1.0,https://api.elsevier.com/metrics/institution/704717,application/json,"Research Institute of Petroleum Industry, Tehran",Institution/704717,irn,MEA,academic,704717.0,Iran,1.0,1.0,1.0,1.0,1.0,,,,,
Sony,3116,1.0,1.0,https://api.elsevier.com/metrics/institution/208325,application/json,Sony,Institution/208325,jpn,APAC,corporate,208325.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Daresbury Laboratory,3117,1.0,1.0,https://api.elsevier.com/metrics/institution/315012,application/json,Daresbury Laboratory,Institution/315012,gbr,EUR,government,315012.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,,,,,
Organisation for Economic Co-operation and Development OECD,3118,1.0,1.0,https://api.elsevier.com/metrics/institution/704495,application/json,Organisation for Economic Co-operation and Development OECD,Institution/704495,fra,EUR,government,704495.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Institute of Soil and Water Conservation Chinese Academy of Sciences,3119,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Claremont Graduate University,3120,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
South Ural State University,3121,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Mae Fah Luang University,3122,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Hospital Universitari Virgen de la Victoria,3123,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
"Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoll Institute (HKI), J",3124,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Institute of Nuclear Research National Academy of Sciences in Ukraine,3125,1.0,1.0,https://api.elsevier.com/metrics/institution/703830,application/json,Institute of Nuclear Research National Academy of Sciences in Ukraine,Institution/703830,ukr,EUR,academic,703830.0,Ukraine,1.0,1.0,1.0,1.0,1.0,,,,,
University of Burdwan,3126,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Hopital Charles Nicolle,3127,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
National Institute of Technology Kurukshetra,3128,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Heraklion University Hospital,3129,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
"Science Systems and Applications, Inc.",3130,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Bergen University College,3131,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Shenyang University of Technology,3132,1.0,1.0,https://api.elsevier.com/metrics/institution/203181,application/json,Shenyang University of Technology,Institution/203181,chn,APAC,academic,203181.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
B P Koirala Institute of Health Sciences,3133,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
St John's Institute of Dermatology,3134,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Instituto Tecnologico de Aeronautica,3135,1.0,1.0,https://api.elsevier.com/metrics/institution/602007,application/json,Instituto Tecnologico de Aeronautica,Institution/602007,bra,SAM,academic,602007.0,Brazil,1.0,1.0,1.0,1.0,1.0,,,,,
Josip Juraj Strossmayer University of Osijek,3136,1.0,1.0,https://api.elsevier.com/metrics/institution/317001,application/json,Josip Juraj Strossmayer University of Osijek,Institution/317001,hrv,EUR,academic,317001.0,Croatia,1.0,1.0,1.0,1.0,1.0,,,,,
Institute of Information Science Academia Sinica Taiwan,3137,1.0,1.0,https://api.elsevier.com/metrics/institution/706673,application/json,Institute of Information Science Academia Sinica Taiwan,Institution/706673,twn,APAC,academic,706673.0,Taiwan,1.0,1.0,1.0,1.0,1.0,,,,,
Dunstaffnage Marine Laboratory,3138,1.0,1.0,https://api.elsevier.com/metrics/institution/315139,application/json,Dunstaffnage Marine Laboratory,Institution/315139,gbr,EUR,government,315139.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,,,,,
Meteorological Research Institute,3139,1.0,1.0,https://api.elsevier.com/metrics/institution/208261,application/json,Meteorological Research Institute,Institution/208261,jpn,APAC,government,208261.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
CAS - Shanghai Institute of Technical Physics,3140,1.0,1.0,https://api.elsevier.com/metrics/institution/203303,application/json,CAS - Shanghai Institute of Technical Physics,Institution/203303,chn,APAC,academic,203303.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
St. Petersburg State Electrotechnical University,3141,1.0,1.0,https://api.elsevier.com/metrics/institution/331108,application/json,St. Petersburg State Electrotechnical University,Institution/331108,rus,EUR,academic,331108.0,Russian Federation,1.0,1.0,1.0,1.0,1.0,,,,,
Western Kentucky University,3142,1.0,1.0,https://api.elsevier.com/metrics/institution/508374,application/json,Western Kentucky University,Institution/508374,usa,NAM,academic,508374.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Orlando Regional Medical Center,3143,1.0,1.0,https://api.elsevier.com/metrics/institution/704521,application/json,Orlando Regional Medical Center,Institution/704521,usa,NAM,medical,704521.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Universite Badji Mokhtar,3144,1.0,1.0,https://api.elsevier.com/metrics/institution/103001,application/json,Universite Badji Mokhtar,Institution/103001,dza,AFR,academic,103001.0,Algeria,1.0,1.0,1.0,1.0,1.0,,,,,
Alagappa University,3145,1.0,1.0,https://api.elsevier.com/metrics/institution/207084,application/json,Alagappa University,Institution/207084,ind,APAC,academic,207084.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
Institute of Intelligent Machines Chinese Academy of Sciences,3146,1.0,1.0,https://api.elsevier.com/metrics/institution/700724,application/json,Institute of Intelligent Machines Chinese Academy of Sciences,Institution/700724,chn,APAC,academic,700724.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
IRSN Institut de Radioprotection et de Surete Nucleaire,3147,1.0,1.0,https://api.elsevier.com/metrics/institution/704493,application/json,IRSN Institut de Radioprotection et de Surete Nucleaire,Institution/704493,fra,EUR,government,704493.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Malaviya National Institute of Technology,3148,1.0,1.0,https://api.elsevier.com/metrics/institution/704864,application/json,Malaviya National Institute of Technology,Institution/704864,ind,APAC,academic,704864.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
Hospital de Cruces,3149,1.0,1.0,https://api.elsevier.com/metrics/institution/312079,application/json,Hospital de Cruces,Institution/312079,esp,EUR,medical,312079.0,Spain,1.0,1.0,1.0,1.0,1.0,,,,,
Federal Institute for Risk Assessment,3150,1.0,1.0,https://api.elsevier.com/metrics/institution/309128,application/json,Federal Institute for Risk Assessment,Institution/309128,deu,EUR,government,309128.0,Germany,1.0,1.0,1.0,1.0,1.0,,,,,
Osaka Medical Center,3151,1.0,1.0,https://api.elsevier.com/metrics/institution/208293,application/json,Osaka Medical Center,Institution/208293,jpn,APAC,medical,208293.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Kirtland AFB,3152,1.0,1.0,https://api.elsevier.com/metrics/institution/508546,application/json,Kirtland AFB,Institution/508546,usa,NAM,government,508546.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Ecole Nationale Superieure de Chimie de Montpellier,3153,1.0,1.0,https://api.elsevier.com/metrics/institution/314010,application/json,Ecole Nationale Superieure de Chimie de Montpellier,Institution/314010,fra,EUR,academic,314010.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
De La Salle University-Manila,3154,1.0,1.0,https://api.elsevier.com/metrics/institution/213002,application/json,De La Salle University-Manila,Institution/213002,phl,APAC,academic,213002.0,Philippines,1.0,1.0,1.0,1.0,1.0,,,,,
Egerton University,3155,1.0,1.0,https://api.elsevier.com/metrics/institution/107003,application/json,Egerton University,Institution/107003,ken,AFR,academic,107003.0,Kenya,1.0,1.0,1.0,1.0,1.0,,,,,
Abant Izzet Baysal University,3156,1.0,1.0,https://api.elsevier.com/metrics/institution/410001,application/json,Abant Izzet Baysal University,Institution/410001,tur,MEA,academic,410001.0,Turkey,1.0,1.0,1.0,1.0,1.0,,,,,
Universiti Malaysia Terengganu,3157,1.0,1.0,https://api.elsevier.com/metrics/institution/211018,application/json,Universiti Malaysia Terengganu,Institution/211018,mys,APAC,academic,211018.0,Malaysia,1.0,1.0,1.0,1.0,1.0,,,,,
Northrop Grumman,3158,1.0,1.0,https://api.elsevier.com/metrics/institution/508620,application/json,Northrop Grumman,Institution/508620,usa,NAM,corporate,508620.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Jiangxi University of Finance and Economics,3159,1.0,1.0,https://api.elsevier.com/metrics/institution/203378,application/json,Jiangxi University of Finance and Economics,Institution/203378,chn,APAC,academic,203378.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Institute of Engineering of Lisbon,3160,1.0,1.0,https://api.elsevier.com/metrics/institution/328017,application/json,Institute of Engineering of Lisbon,Institution/328017,prt,EUR,academic,328017.0,Portugal,1.0,1.0,1.0,1.0,1.0,,,,,
Hopital Civil,3161,1.0,1.0,https://api.elsevier.com/metrics/institution/314189,application/json,Hopital Civil,Institution/314189,fra,EUR,medical,314189.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Middlebury College,3162,1.0,1.0,https://api.elsevier.com/metrics/institution/508576,application/json,Middlebury College,Institution/508576,usa,NAM,academic,508576.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Taiwan Semiconductor Manufacturing Company,3163,1.0,1.0,https://api.elsevier.com/metrics/institution/217103,application/json,Taiwan Semiconductor Manufacturing Company,Institution/217103,twn,APAC,corporate,217103.0,Taiwan,1.0,1.0,1.0,1.0,1.0,,,,,
Lembaga Ilmu Pengetahuan Indonesia,3164,1.0,1.0,https://api.elsevier.com/metrics/institution/701291,application/json,Lembaga Ilmu Pengetahuan Indonesia,Institution/701291,idn,APAC,academic,701291.0,Indonesia,1.0,1.0,1.0,1.0,1.0,,,,,
Harbin Normal University,3165,1.0,1.0,https://api.elsevier.com/metrics/institution/203078,application/json,Harbin Normal University,Institution/203078,chn,APAC,academic,203078.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Guangdong Power Grid Corporation,3166,1.0,1.0,https://api.elsevier.com/metrics/institution/704159,application/json,Guangdong Power Grid Corporation,Institution/704159,chn,APAC,corporate,704159.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Kafrelsheikh University,3167,1.0,1.0,https://api.elsevier.com/metrics/institution/700902,application/json,Kafrelsheikh University,Institution/700902,egy,AFR,academic,700902.0,Egypt,1.0,1.0,1.0,1.0,1.0,,,,,
Norwegian Institute for Air Research,3168,1.0,1.0,https://api.elsevier.com/metrics/institution/326020,application/json,Norwegian Institute for Air Research,Institution/326020,nor,EUR,other,326020.0,Norway,1.0,1.0,1.0,1.0,1.0,,,,,
National Institutes of Natural Sciences - National Institute for Basic Biology,3169,1.0,1.0,https://api.elsevier.com/metrics/institution/706597,application/json,National Institutes of Natural Sciences - National Institute for Basic Biology,Institution/706597,jpn,APAC,government,706597.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Siberian Federal University,3170,1.0,1.0,https://api.elsevier.com/metrics/institution/700790,application/json,Siberian Federal University,Institution/700790,rus,EUR,academic,700790.0,Russian Federation,1.0,1.0,1.0,1.0,1.0,,,,,
China Geological Survey,3171,1.0,1.0,https://api.elsevier.com/metrics/institution/704480,application/json,China Geological Survey,Institution/704480,chn,APAC,government,704480.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Station Biologique de Roscoff,3172,1.0,1.0,https://api.elsevier.com/metrics/institution/314294,application/json,Station Biologique de Roscoff,Institution/314294,fra,EUR,government,314294.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Hubei University of Technology,3173,1.0,1.0,https://api.elsevier.com/metrics/institution/707906,application/json,Hubei University of Technology,Institution/707906,chn,APAC,academic,707906.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Colgate University,3174,1.0,1.0,https://api.elsevier.com/metrics/institution/508466,application/json,Colgate University,Institution/508466,usa,NAM,academic,508466.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
SAP Research,3175,1.0,1.0,https://api.elsevier.com/metrics/institution/309203,application/json,SAP Research,Institution/309203,deu,EUR,corporate,309203.0,Germany,1.0,1.0,1.0,1.0,1.0,,,,,
Hospital Universitario de Valme,3176,1.0,1.0,https://api.elsevier.com/metrics/institution/312113,application/json,Hospital Universitario de Valme,Institution/312113,esp,EUR,medical,312113.0,Spain,1.0,1.0,1.0,1.0,1.0,,,,,
Max-Planck-Institute for Biological Cybernetics,3177,1.0,1.0,https://api.elsevier.com/metrics/institution/700917,application/json,Max-Planck-Institute for Biological Cybernetics,Institution/700917,deu,EUR,academic,700917.0,Germany,1.0,1.0,1.0,1.0,1.0,,,,,
Punjab Agricultural University,3178,1.0,1.0,https://api.elsevier.com/metrics/institution/207060,application/json,Punjab Agricultural University,Institution/207060,ind,APAC,academic,207060.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
University of Northern British Columbia,3179,1.0,1.0,https://api.elsevier.com/metrics/institution/501042,application/json,University of Northern British Columbia,Institution/501042,can,NAM,academic,501042.0,Canada,1.0,1.0,1.0,1.0,1.0,,,,,
Chengdu Institute of Biology Chinese Academy of Sciences,3180,1.0,1.0,https://api.elsevier.com/metrics/institution/700729,application/json,Chengdu Institute of Biology Chinese Academy of Sciences,Institution/700729,chn,APAC,academic,700729.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Bureau of Meteorology Australia,3181,1.0,1.0,https://api.elsevier.com/metrics/institution/704686,application/json,Bureau of Meteorology Australia,Institution/704686,aus,APAC,academic,704686.0,Australia,1.0,1.0,1.0,1.0,1.0,,,,,
Jiangxi University of Science and Technology,3182,1.0,1.0,https://api.elsevier.com/metrics/institution/704863,application/json,Jiangxi University of Science and Technology,Institution/704863,chn,APAC,academic,704863.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
National Pingtung University of Science and Technology,3183,1.0,1.0,https://api.elsevier.com/metrics/institution/217039,application/json,National Pingtung University of Science and Technology,Institution/217039,twn,APAC,academic,217039.0,Taiwan,1.0,1.0,1.0,1.0,1.0,,,,,
Hebei University of Science and Technology,3184,1.0,1.0,https://api.elsevier.com/metrics/institution/203084,application/json,Hebei University of Science and Technology,Institution/203084,chn,APAC,academic,203084.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Hamedan University of Medical Sciences and Health Services,3185,1.0,1.0,https://api.elsevier.com/metrics/institution/404032,application/json,Hamedan University of Medical Sciences and Health Services,Institution/404032,irn,MEA,academic,404032.0,Iran,1.0,1.0,1.0,1.0,1.0,,,,,
University of Primorska,3186,1.0,1.0,https://api.elsevier.com/metrics/institution/700522,application/json,University of Primorska,Institution/700522,svn,EUR,academic,700522.0,Slovenia,1.0,1.0,1.0,1.0,1.0,,,,,
IDC - Interdisciplinary Center Herzliya,3187,1.0,1.0,https://api.elsevier.com/metrics/institution/701086,application/json,IDC - Interdisciplinary Center Herzliya,Institution/701086,isr,MEA,government,701086.0,Israel,1.0,1.0,1.0,1.0,1.0,,,,,
Hanken School of Economics,3188,1.0,1.0,https://api.elsevier.com/metrics/institution/700755,application/json,Hanken School of Economics,Institution/700755,fin,EUR,academic,700755.0,Finland,1.0,1.0,1.0,1.0,1.0,,,,,
Institut Pertanian Bogor,3189,1.0,1.0,https://api.elsevier.com/metrics/institution/701290,application/json,Institut Pertanian Bogor,Institution/701290,idn,APAC,academic,701290.0,Indonesia,1.0,1.0,1.0,1.0,1.0,,,,,
Cardiff Metropolitan University,3190,1.0,1.0,https://api.elsevier.com/metrics/institution/700654,application/json,Cardiff Metropolitan University,Institution/700654,gbr,EUR,academic,700654.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,,,,,
Universidad Nacional de Tucuman,3191,1.0,1.0,https://api.elsevier.com/metrics/institution/601011,application/json,Universidad Nacional de Tucuman,Institution/601011,arg,SAM,academic,601011.0,Argentina,1.0,1.0,1.0,1.0,1.0,,,,,
Universidad Veracruzana,3192,1.0,1.0,https://api.elsevier.com/metrics/institution/505056,application/json,Universidad Veracruzana,Institution/505056,mex,NAM,academic,505056.0,Mexico,1.0,1.0,1.0,1.0,1.0,,,,,
Universidad Autonoma de Baja California,3193,1.0,1.0,https://api.elsevier.com/metrics/institution/505046,application/json,Universidad Autonoma de Baja California,Institution/505046,mex,NAM,academic,505046.0,Mexico,1.0,1.0,1.0,1.0,1.0,,,,,
Chia Nan University of Pharmacy and Science,3194,1.0,1.0,https://api.elsevier.com/metrics/institution/217005,application/json,Chia Nan University of Pharmacy and Science,Institution/217005,twn,APAC,academic,217005.0,Taiwan,1.0,1.0,1.0,1.0,1.0,,,,,
National Observatory of Athens,3195,1.0,1.0,https://api.elsevier.com/metrics/institution/316006,application/json,National Observatory of Athens,Institution/316006,grc,EUR,government,316006.0,Greece,1.0,1.0,1.0,1.0,1.0,,,,,
Far Eastern Memorial Hospital,3196,1.0,1.0,https://api.elsevier.com/metrics/institution/217070,application/json,Far Eastern Memorial Hospital,Institution/217070,twn,APAC,medical,217070.0,Taiwan,1.0,1.0,1.0,1.0,1.0,,,,,
INSA Rouen,3197,1.0,1.0,https://api.elsevier.com/metrics/institution/314253,application/json,INSA Rouen,Institution/314253,fra,EUR,academic,314253.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Hellenic Open University,3198,1.0,1.0,https://api.elsevier.com/metrics/institution/316028,application/json,Hellenic Open University,Institution/316028,grc,EUR,academic,316028.0,Greece,1.0,1.0,1.0,1.0,1.0,,,,,
Athabasca University,3199,1.0,1.0,https://api.elsevier.com/metrics/institution/501059,application/json,Athabasca University,Institution/501059,can,NAM,academic,501059.0,Canada,1.0,1.0,1.0,1.0,1.0,,,,,
"Minister of Culture and Communication, Paris",3200,1.0,1.0,https://api.elsevier.com/metrics/institution/706355,application/json,"Minister of Culture and Communication, Paris",Institution/706355,fra,EUR,academic,706355.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Technological Educational Institute of Crete,3201,1.0,1.0,https://api.elsevier.com/metrics/institution/316040,application/json,Technological Educational Institute of Crete,Institution/316040,grc,EUR,academic,316040.0,Greece,1.0,1.0,1.0,1.0,1.0,,,,,
Kazan National Research Technological University,3202,1.0,1.0,https://api.elsevier.com/metrics/institution/705027,application/json,Kazan National Research Technological University,Institution/705027,rus,EUR,academic,705027.0,Russian Federation,1.0,1.0,1.0,1.0,1.0,,,,,
Kanagawa University,3203,1.0,1.0,https://api.elsevier.com/metrics/institution/208057,application/json,Kanagawa University,Institution/208057,jpn,APAC,academic,208057.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Madras Medical College,3204,1.0,1.0,https://api.elsevier.com/metrics/institution/704633,application/json,Madras Medical College,Institution/704633,ind,APAC,academic,704633.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
Forestry and Forest Products Research Institute,3205,1.0,1.0,https://api.elsevier.com/metrics/institution/208019,application/json,Forestry and Forest Products Research Institute,Institution/208019,jpn,APAC,government,208019.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Punjabi University,3206,1.0,1.0,https://api.elsevier.com/metrics/institution/207061,application/json,Punjabi University,Institution/207061,ind,APAC,academic,207061.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
Universidad Nacional de San Martin,3207,1.0,1.0,https://api.elsevier.com/metrics/institution/601023,application/json,Universidad Nacional de San Martin,Institution/601023,arg,SAM,academic,601023.0,Argentina,1.0,1.0,1.0,1.0,1.0,,,,,
Stockholm Environment Institute,3208,1.0,1.0,https://api.elsevier.com/metrics/institution/704795,application/json,Stockholm Environment Institute,Institution/704795,swe,EUR,academic,704795.0,Sweden,1.0,1.0,1.0,1.0,1.0,,,,,
University of Richmond,3209,1.0,1.0,https://api.elsevier.com/metrics/institution/508334,application/json,University of Richmond,Institution/508334,usa,NAM,academic,508334.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Institute of Engineering Thermophysics Chinese Academy of Sciences,3210,1.0,1.0,https://api.elsevier.com/metrics/institution/700701,application/json,Institute of Engineering Thermophysics Chinese Academy of Sciences,Institution/700701,chn,APAC,academic,700701.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Forschungszentrum Borstel,3211,1.0,1.0,https://api.elsevier.com/metrics/institution/309133,application/json,Forschungszentrum Borstel,Institution/309133,deu,EUR,government,309133.0,Germany,1.0,1.0,1.0,1.0,1.0,,,,,
University of the Azores,3212,1.0,1.0,https://api.elsevier.com/metrics/institution/328028,application/json,University of the Azores,Institution/328028,prt,EUR,academic,328028.0,Portugal,1.0,1.0,1.0,1.0,1.0,,,,,
Nestle,3213,1.0,1.0,https://api.elsevier.com/metrics/institution/306027,application/json,Nestle,Institution/306027,che,EUR,corporate,306027.0,Switzerland,1.0,1.0,1.0,1.0,1.0,,,,,
King Mongkut's University of Technology North Bangkok,3214,1.0,1.0,https://api.elsevier.com/metrics/institution/702325,application/json,King Mongkut's University of Technology North Bangkok,Institution/702325,tha,APAC,academic,702325.0,Thailand,1.0,1.0,1.0,1.0,1.0,,,,,
Changwon National University,3215,1.0,1.0,https://api.elsevier.com/metrics/institution/209005,application/json,Changwon National University,Institution/209005,kor,APAC,academic,209005.0,South Korea,1.0,1.0,1.0,1.0,1.0,,,,,
Meijo University,3216,1.0,1.0,https://api.elsevier.com/metrics/institution/208085,application/json,Meijo University,Institution/208085,jpn,APAC,academic,208085.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Bahcesehir University,3217,1.0,1.0,https://api.elsevier.com/metrics/institution/702307,application/json,Bahcesehir University,Institution/702307,tur,MEA,academic,702307.0,Turkey,1.0,1.0,1.0,1.0,1.0,,,,,
Hebei Agricultural University,3218,1.0,1.0,https://api.elsevier.com/metrics/institution/203080,application/json,Hebei Agricultural University,Institution/203080,chn,APAC,academic,203080.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Southwest Foundation for Biomedical Research,3219,1.0,1.0,https://api.elsevier.com/metrics/institution/508689,application/json,Southwest Foundation for Biomedical Research,Institution/508689,usa,NAM,other,508689.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
Klinikum Bogenhausen,3220,1.0,1.0,https://api.elsevier.com/metrics/institution/704582,application/json,Klinikum Bogenhausen,Institution/704582,deu,EUR,medical,704582.0,Germany,1.0,1.0,1.0,1.0,1.0,,,,,
China Institute of Atomic Energy,3221,1.0,1.0,https://api.elsevier.com/metrics/institution/203030,application/json,China Institute of Atomic Energy,Institution/203030,chn,APAC,government,203030.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Robert Gordon University,3222,1.0,1.0,https://api.elsevier.com/metrics/institution/315049,application/json,Robert Gordon University,Institution/315049,gbr,EUR,academic,315049.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,,,,,
Asian Institute of Technology,3223,1.0,1.0,https://api.elsevier.com/metrics/institution/216001,application/json,Asian Institute of Technology,Institution/216001,tha,APAC,academic,216001.0,Thailand,1.0,1.0,1.0,1.0,1.0,,,,,
Royal Hospital for Sick Children Glasgow,3224,1.0,1.0,https://api.elsevier.com/metrics/institution/315191,application/json,Royal Hospital for Sick Children Glasgow,Institution/315191,gbr,EUR,medical,315191.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,,,,,
Universidad Autonoma del Estado de Morelos,3225,1.0,1.0,https://api.elsevier.com/metrics/institution/505016,application/json,Universidad Autonoma del Estado de Morelos,Institution/505016,mex,NAM,academic,505016.0,Mexico,1.0,1.0,1.0,1.0,1.0,,,,,
International Islamic University Islamabad,3226,1.0,1.0,https://api.elsevier.com/metrics/institution/704910,application/json,International Islamic University Islamabad,Institution/704910,pak,APAC,academic,704910.0,Pakistan,1.0,1.0,1.0,1.0,1.0,,,,,
Agricultural Research Council,3227,1.0,1.0,https://api.elsevier.com/metrics/institution/115028,application/json,Agricultural Research Council,Institution/115028,zaf,AFR,government,115028.0,South Africa,1.0,1.0,1.0,1.0,1.0,,,,,
"Ministry of Health, Indonesia",3228,1.0,1.0,https://api.elsevier.com/metrics/institution/704461,application/json,"Ministry of Health, Indonesia",Institution/704461,idn,APAC,government,704461.0,Indonesia,1.0,1.0,1.0,1.0,1.0,,,,,
"Kalinga Institute of Industrial Technology, Bhubaneswar",3229,1.0,1.0,https://api.elsevier.com/metrics/institution/705563,application/json,"Kalinga Institute of Industrial Technology, Bhubaneswar",Institution/705563,ind,APAC,academic,705563.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
Naresuan University,3230,1.0,1.0,https://api.elsevier.com/metrics/institution/216015,application/json,Naresuan University,Institution/216015,tha,APAC,academic,216015.0,Thailand,1.0,1.0,1.0,1.0,1.0,,,,,
Greenlane Clinical Centre,3231,1.0,1.0,https://api.elsevier.com/metrics/institution/704507,application/json,Greenlane Clinical Centre,Institution/704507,nzl,APAC,medical,704507.0,New Zealand,1.0,1.0,1.0,1.0,1.0,,,,,
Space Science Institute,3232,1.0,1.0,https://api.elsevier.com/metrics/institution/508693,application/json,Space Science Institute,Institution/508693,usa,NAM,other,508693.0,United States,1.0,1.0,1.0,1.0,1.0,,,,,
University of Madeira,3233,1.0,1.0,https://api.elsevier.com/metrics/institution/328027,application/json,University of Madeira,Institution/328027,prt,EUR,academic,328027.0,Portugal,1.0,1.0,1.0,1.0,1.0,,,,,
LCC Laboratoire de Chimie de Coordination,3234,1.0,1.0,https://api.elsevier.com/metrics/institution/314282,application/json,LCC Laboratoire de Chimie de Coordination,Institution/314282,fra,EUR,government,314282.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Bose Institute,3235,1.0,1.0,https://api.elsevier.com/metrics/institution/207013,application/json,Bose Institute,Institution/207013,ind,APAC,academic,207013.0,India,1.0,1.0,1.0,1.0,1.0,,,,,
Universite du Quebec a Rimouski,3236,1.0,1.0,https://api.elsevier.com/metrics/institution/501032,application/json,Universite du Quebec a Rimouski,Institution/501032,can,NAM,academic,501032.0,Canada,1.0,1.0,1.0,1.0,1.0,,,,,
Universidade Federal do Piaui,3237,1.0,1.0,https://api.elsevier.com/metrics/institution/602092,application/json,Universidade Federal do Piaui,Institution/602092,bra,SAM,academic,602092.0,Brazil,1.0,1.0,1.0,1.0,1.0,,,,,
Suzhou University of Science and Technology,3238,1.0,1.0,https://api.elsevier.com/metrics/institution/203440,application/json,Suzhou University of Science and Technology,Institution/203440,chn,APAC,academic,203440.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Shenyang University,3239,1.0,1.0,https://api.elsevier.com/metrics/institution/203430,application/json,Shenyang University,Institution/203430,chn,APAC,academic,203430.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
